               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030743,            0.008054,           0.0015145,             0.96681,             0.35452,             0.40258,              0.2573,            0.031055,           0.0076155,            0.020518,           0.0096634,           0.0096634,           0.0096634
                  36,            0.031045,           0.0080926,           0.0015487,             0.94939,             0.36281,             0.40399,             0.25542,            0.030865,           0.0076119,              0.0202,           0.0096535,           0.0096535,           0.0096535
                  37,            0.030065,           0.0079267,           0.0012653,             0.93983,             0.37402,             0.40563,             0.25555,            0.030798,           0.0076162,            0.022717,           0.0096436,           0.0096436,           0.0096436
                  38,            0.030262,           0.0080671,           0.0015216,             0.95335,             0.36333,             0.40667,             0.25904,            0.030229,            0.007755,            0.020608,           0.0096337,           0.0096337,           0.0096337
                  39,            0.029688,           0.0079893,           0.0014548,              0.9517,             0.36267,             0.40374,             0.26544,            0.030015,           0.0078392,            0.020677,           0.0096238,           0.0096238,           0.0096238
                  40,            0.029681,           0.0080133,           0.0014887,               0.965,             0.36063,             0.40751,             0.27294,            0.030154,             0.00738,            0.020498,           0.0096139,           0.0096139,           0.0096139
                  41,            0.029104,           0.0076733,           0.0012723,             0.95815,             0.36926,             0.40826,             0.27023,            0.030937,           0.0071763,            0.020337,            0.009604,            0.009604,            0.009604
                  42,            0.028992,           0.0077879,           0.0014461,             0.96852,             0.36475,             0.40755,             0.27424,            0.030478,           0.0073335,            0.020437,           0.0095941,           0.0095941,           0.0095941
                  43,            0.029431,           0.0078069,           0.0013237,             0.94829,             0.37299,             0.40706,             0.27623,            0.030456,           0.0074705,            0.021571,           0.0095842,           0.0095842,           0.0095842
                  44,            0.028263,           0.0076431,           0.0011662,             0.94571,             0.38338,             0.41416,             0.28578,            0.030053,           0.0072273,            0.022045,           0.0095743,           0.0095743,           0.0095743
                  45,             0.02887,           0.0079422,           0.0017507,             0.96759,             0.36544,             0.41417,             0.28507,            0.030002,           0.0072879,             0.02209,           0.0095644,           0.0095644,           0.0095644
                  46,            0.028745,           0.0077525,           0.0013023,             0.96731,             0.36537,             0.41293,             0.28581,            0.030176,           0.0072583,            0.021125,           0.0095545,           0.0095545,           0.0095545
                  47,            0.028343,           0.0077022,           0.0012974,             0.96641,             0.36727,             0.41319,             0.28742,            0.029514,           0.0072335,             0.02078,           0.0095446,           0.0095446,           0.0095446
                  48,            0.028617,           0.0077742,           0.0012152,             0.97465,             0.36547,             0.41317,             0.28779,            0.029233,           0.0074987,            0.021388,           0.0095347,           0.0095347,           0.0095347
                  49,            0.027783,           0.0075092,           0.0010892,             0.97291,             0.36877,              0.4149,             0.29121,            0.028951,           0.0075472,            0.021768,           0.0095248,           0.0095248,           0.0095248
                  50,            0.027592,           0.0075932,           0.0014834,              0.9647,             0.36857,             0.41056,             0.28609,            0.029341,           0.0073559,            0.019807,           0.0095149,           0.0095149,           0.0095149
                  51,            0.028141,           0.0077175,           0.0016437,              0.9759,             0.36398,             0.40988,             0.28863,            0.029249,           0.0072943,            0.019935,            0.009505,            0.009505,            0.009505
                  52,            0.027758,           0.0074877,           0.0013032,             0.97809,             0.36482,             0.41204,             0.29295,            0.029164,           0.0071887,            0.020473,           0.0094951,           0.0094951,           0.0094951
                  53,            0.027004,           0.0073544,            0.001058,             0.96951,             0.36983,             0.41391,             0.29888,            0.028653,            0.007284,            0.020838,           0.0094852,           0.0094852,           0.0094852
                  54,            0.026741,           0.0074058,          0.00097891,             0.98246,             0.36262,             0.41388,             0.30089,            0.028285,           0.0072827,            0.020659,           0.0094753,           0.0094753,           0.0094753
                  55,            0.026751,           0.0071425,           0.0011449,             0.96176,             0.38251,             0.41464,             0.30342,            0.028163,           0.0072641,            0.020821,           0.0094654,           0.0094654,           0.0094654
                  56,             0.02693,           0.0075384,            0.001174,             0.97889,             0.37073,             0.41552,              0.3041,             0.02882,           0.0070233,            0.021437,           0.0094555,           0.0094555,           0.0094555
                  57,            0.026988,           0.0073869,           0.0012961,             0.96489,             0.38186,             0.41419,             0.30702,            0.028925,           0.0069964,            0.020857,           0.0094456,           0.0094456,           0.0094456
                  58,             0.02655,           0.0072819,           0.0012867,             0.96254,             0.38558,             0.41392,             0.30654,            0.028878,           0.0069731,            0.021059,           0.0094357,           0.0094357,           0.0094357
                  59,            0.026435,           0.0070381,           0.0012522,             0.95836,             0.38911,              0.4148,             0.31047,            0.028119,           0.0071221,            0.021446,           0.0094258,           0.0094258,           0.0094258
                  60,            0.026185,           0.0072459,           0.0012821,              0.9812,             0.37418,             0.41681,             0.31281,            0.027849,           0.0072671,            0.021487,           0.0094159,           0.0094159,           0.0094159
                  61,            0.026115,           0.0072224,           0.0011161,             0.97773,              0.3767,             0.41623,             0.31469,            0.027691,           0.0072674,            0.019861,            0.009406,            0.009406,            0.009406
                  62,            0.025409,           0.0070252,           0.0010951,             0.98422,             0.37375,             0.41697,             0.31695,            0.027784,           0.0072217,            0.019303,           0.0093961,           0.0093961,           0.0093961
